Country Code,Country Name,Year,Unemployment Rate,Mean Years of Schooling,Minimum Wage (PPP),GDP (PPP),Inflation Rate - CPI (%),Labor force participation rate (%),Population growth (%),"Employment rate, male (%)"
CYP,Cyprus,2016,13.006,12.09000015,1289.732,30552082854.0,3.345815487827586,68.711,1.433705226,25.8966956
CYP,Cyprus,2017,11.155,12.18499994,1291.211,33018000535.0,4.207002425137931,69.261,1.377808547,25.54150034
CYP,Cyprus,2018,8.504,12.27999973,1297.0,35607200077.0,4.528310806206897,69.747,1.30393307,25.18909878
CYP,Cyprus,2019,7.155,12.35999966,1338.123,39790089303.0,4.624918080103448,70.485,1.246121557,27.70868497
CYP,Cyprus,2020,7.755,12.43999958,1366.857,38672028567.0,7.93913779851724,69.93,1.203297126,29.77376872
CYP,Cyprus,2021,7.513,12.5573721,1356.047,43923040810.0,11.345335315793102,70.132,1.149978545,26.62941977
CYP,Cyprus,2022,6.806,12.5573721,1381.602,51062040030.0,16.37175425637931,71.311,1.061746787,25.03243141
CYP,Cyprus,2023,6.098,12.5573721,1470.28,53042918221.0,15.862202858068965,71.333,1.016768177,24.07453938
CYP,Cyprus,2024,5.602,12.5573721,1617.572,57562539071.0,7.048335517241378,71.131,0.984449687,24.07453938
GEO,Georgia,2015,16.506,12.71500015,23.457,45707843452.0,3.298013663551724,73.791,0.157481405,16.51417045
GEO,Georgia,2016,16.604,12.81000042,22.994,48700949298.0,3.345815487827586,73.606,0.059816599,17.41811823
GEO,Georgia,2017,13.939,12.86999989,21.329,51144255244.0,4.207002425137931,70.768,0.013386075,20.10240472
GEO,Georgia,2018,12.667,12.84499979,21.314,55979867880.0,4.528310806206897,67.918,-0.039036546,22.34330949
GEO,Georgia,2019,11.565,12.81999969,20.878,62387596154.0,4.624918080103448,67.067,-0.17156574,22.23147589
GEO,Georgia,2020,11.73,12.77999973,19.908,62509091761.0,7.93913779851724,67.444,0.068656249,20.52153775
GEO,Georgia,2021,11.791,12.73999977,18.631,70150781358.0,11.345335315793102,64.962,-0.379636607,20.69178821
