Country Code,Country Name,Year,Mean Years of Schooling,Minimum Wage,Unemployment Rate,,,
NPL,Nepal,2016,3.733829975,261.715,10.742,,,
NPL,Nepal,2017,3.933636665,319.579,10.66,,,
NPL,Nepal,2018,4.133443356,431.597,10.559,,,
NPL,Nepal,2019,4.333250046,413.659,10.389,,,
NPL,Nepal,2020,4.418489933,401.694,12.975,,,
NPL,Nepal,2021,4.50372982,443.351,12.186,,,
NPL,Nepal,2022,4.50372982,444.801,10.844,,,
NPL,Nepal,2023,4.50372982,498.644,10.628,,,
NPL,Nepal,2024,,815.23,10.706,,,
OMN,Oman,2015,9.699999809,1490.719,3.401,,,
OMN,Oman,2016,10.12999992,1520.622,3.266,,,
OMN,Oman,2017,10.56000004,1507.766,2.522,,,
OMN,Oman,2018,10.99000015,1586.915,1.8,,,
OMN,Oman,2019,11.42000027,1628.981,2.04,,,
OMN,Oman,2020,11.85000038,1607.308,2.94,,,
OMN,Oman,2021,11.87000036,1579.815,1.9,,,
OMN,Oman,2022,11.89000034,1664.529,3.3,,,
OMN,Oman,2023,11.89000034,1716.724,3.176,,,
OMN,Oman,2024,,1756.93,3.161,,,
PAK,Pakistan,2015,5.146666527,418.256,3.566,,,
PAK,Pakistan,2016,5.133333206,441.116,2.285,,,
PAK,Pakistan,2017,5.119999886,457.358,3.215,,,
PAK,Pakistan,2018,4.770319939,438.574,4.083,,,
PAK,Pakistan,2019,4.539999962,469.121,4.83,,,
PAK,Pakistan,2020,4.427089449,438.435,6.127,,,
PAK,Pakistan,2021,4.316987038,446.768,6.338,,,
PAK,Pakistan,2022,4.316987038,529.638,5.485,,,
PAK,Pakistan,2023,4.316987038,539.766,5.408,,,
PAK,Pakistan,2024,,570.451,5.472,,,
PHL,Philippines,2015,8.664999962,333.293,3.068,,,
PHL,Philippines,2016,8.422500134,346.599,2.695,,,
PHL,Philippines,2017,8.180000305,342.696,2.552,,,
PHL,Philippines,2018,8.575000286,353.01,2.338,,,
PHL,Philippines,2019,8.970000267,353.29,2.237,,,
PHL,Philippines,2020,8.890000343,354.328,2.522,,,
PHL,Philippines,2021,9.433619976,353.414,3.398,,,
PHL,Philippines,2022,9.977239609,396.514,2.598,,,
PHL,Philippines,2023,9.977239609,401.244,2.222,,,
PHL,Philippines,2024,,400.222,2.153,,,
THA,Thailand,2015,8.183333079,624.064,0.597,,,
THA,Thailand,2016,8.319999695,625.86,0.688,,,
THA,Thailand,2017,8.34499979,631.909,0.83,,,
THA,Thailand,2018,8.369999886,660.936,0.765,,,
THA,Thailand,2019,8.699999809,669.244,0.716,,,
THA,Thailand,2020,8.813333193,694.119,1.099,,,
THA,Thailand,2021,8.926666578,710.375,1.215,,,
THA,Thailand,2022,9.039999962,816.337,0.94,,,
THA,Thailand,2023,9.039999962,783.514,0.733,,,
THA,Thailand,2024,,818.87,0.693,,,
TJK,Tajikistan,2015,11.34705891,111.233,11.485,,,
TJK,Tajikistan,2016,11.38352949,164.503,11.5,,,
TJK,Tajikistan,2017,11.42000008,147.917,11.487,,,
TJK,Tajikistan,2018,11.3761613,143.957,11.437,,,
TJK,Tajikistan,2019,11.33232253,137.769,11.419,,,
TJK,Tajikistan,2020,11.28848376,133.465,12.321,,,
TJK,Tajikistan,2021,11.27094825,124.29,12.333,,,
