CountryCode,CountryName,Year,Schooling,MinWage,Unemployment,MinWage_Growth,Unemployment_LastYear,Cluster
JOR,Jordan,2022,10.30999978,782.926,18.2,3.6205778418942014,19.837,2
JOR,Jordan,2023,10.23999977,798.506,17.969,1.9899709551094211,18.2,2
JOR,Jordan,2024,10.41342076111111,809.458,17.996,1.371561390897491,17.969,2
JPN,Japan,2015,12.5999999,1269.424,3.385,0.0,0.0,0
JPN,Japan,2016,12.61399994,1241.23,3.132,-2.221007323006341,3.385,0
JPN,Japan,2017,12.62799997,1267.308,2.822,2.100980479040948,3.132,0
JPN,Japan,2018,12.64200001,1325.184,2.467,4.566845628686944,2.822,0
JPN,Japan,2019,12.65600004,1345.648,2.351,1.5442383850091668,2.467,0
JPN,Japan,2020,12.67000008,1383.735,2.809,2.830383577280249,2.351,0
JPN,Japan,2021,12.68404671,1472.894,2.828,6.443358012914335,2.809,0
JPN,Japan,2022,12.68404671,1616.07,2.6,9.720726678226676,2.828,0
JPN,Japan,2023,12.68404671,1708.562,2.6,5.723266937694538,2.6,0
JPN,Japan,2024,12.651348896666669,1805.801,2.563,5.691277226111779,2.6,0
KAZ,Kazakhstan,2015,11.99777031,203.992,4.93,0.0,0.0,2
KAZ,Kazakhstan,2016,12.06851355,196.792,4.96,-3.529550178438368,4.93,2
KAZ,Kazakhstan,2017,12.1392568,194.86,4.9,-0.981747225496965,4.96,2
KAZ,Kazakhstan,2018,12.21000004,215.62,4.85,10.653802730165252,4.9,2
KAZ,Kazakhstan,2019,12.32137247,321.983,4.8,49.32891197477043,4.85,2
KAZ,Kazakhstan,2020,12.43376078,310.857,4.89,-3.455461934325721,4.8,2
KAZ,Kazakhstan,2021,12.54717423,298.537,5.546,-3.9632371154582513,4.89,2
KAZ,Kazakhstan,2022,12.54717423,395.724,4.86,32.554423739770954,5.546,2
KAZ,Kazakhstan,2023,12.54717423,418.986,4.821,5.878339448706682,4.86,2
KAZ,Kazakhstan,2024,12.312466293333332,481.236,4.794,14.857298334550562,4.821,2
KGZ,Kyrgyz Republic,2015,11.45768642,47.767,3.338,0.0,0.0,2
KGZ,Kyrgyz Republic,2016,11.55730089,54.347,3.474,13.775200452195024,3.338,2
KGZ,Kyrgyz Republic,2017,11.65691535,62.036,3.57,14.14797504922074,3.474,2
KGZ,Kyrgyz Republic,2018,11.75652981,81.032,3.67,30.620929782706806,3.57,2
KGZ,Kyrgyz Republic,2019,11.8587579,82.945,4.295,2.360795735018262,3.67,2
KGZ,Kyrgyz Republic,2020,11.96187492,86.113,4.63,3.819398396527829,4.295,2
KGZ,Kyrgyz Republic,2021,12.06588858,76.246,4.096,-11.458200271735986,4.63,2
KGZ,Kyrgyz Republic,2022,12.06588858,91.115,4.043,19.501350890538525,4.096,2
KGZ,Kyrgyz Republic,2023,12.06588858,85.655,3.991,-5.99242715249958,4.043,2
KGZ,Kyrgyz Republic,2024,11.827414558888888,74.13955555555555,3.289,-13.443983940744207,3.991,2
KHM,Cambodia,2015,3.670000076,0.084,0.393,0.0,0.0,1
KHM,Cambodia,2016,3.952092528,0.091,0.716,8.333333333333325,0.393,1
KHM,Cambodia,2017,4.23418498,0.098,0.141,7.692307692307709,0.716,1
KHM,Cambodia,2018,4.516277432,0.108,0.13,10.20408163265305,0.141,1
KHM,Cambodia,2019,4.798369884,0.116,0.119,7.407407407407418,0.13,1
KHM,Cambodia,2020,4.997735023,0.12,0.172,3.44827586206895,0.119,1
KHM,Cambodia,2021,5.197100163,0.122,0.396,1.6666666666666607,0.172,1
KHM,Cambodia,2022,5.197100163,0.126,0.231,3.278688524590168,0.396,1
KHM,Cambodia,2023,5.197100163,0.132,0.225,4.761904761904767,0.231,1
KHM,Cambodia,2024,4.639995601333333,0.137,0.27,3.787878787878785,0.225,1
KWT,Kuwait,2015,7.070000172,399.558,2.2,0.0,0.0,1
KWT,Kuwait,2016,7.130000114,399.558,2.16,0.0,2.2,1
KWT,Kuwait,2017,7.190000057,393.075,2.227,-1.622542909915459,2.16,1
KWT,Kuwait,2018,7.21999979,402.951,2.204,2.512497614958975,2.227,1
KWT,Kuwait,2019,7.333540674,399.915,2.251,-0.7534414854411531,2.204,1
KWT,Kuwait,2020,7.448867088,387.659,3.557,-3.064651238388161,2.251,1
KWT,Kuwait,2021,7.566007112,390.896,3.002,0.8350122143430339,3.557,1
KWT,Kuwait,2022,7.566007112,406.017,2.174,3.868292333510692,3.002,1
KWT,Kuwait,2023,7.566007112,407.874,2.127,0.4573700116005108,2.174,1
KWT,Kuwait,2024,7.343381025666667,408.077,2.144,0.0497702721919068,2.127,1
LAO,Lao PDR,2015,5.478619371,275.315,2.494,0.0,0.0,1
LAO,Lao PDR,2016,5.572289603,280.354,2.881,1.8302671485389328,2.494,1
LAO,Lao PDR,2017,5.665959835,282.422,3.268,0.7376388423207869,2.881,1
LAO,Lao PDR,2018,5.759630067,344.059,2.9,21.82443294077656,3.268,1
LAO,Lao PDR,2019,5.853300299,341.134,2.537,-0.8501448879407292,2.9,1
LAO,Lao PDR,2020,5.94697053,338.462,2.361,-0.7832699173931701,2.537,1
LAO,Lao PDR,2021,6.06024616,337.397,2.066,-0.3146586618290925,2.361,1
LAO,Lao PDR,2022,6.06024616,323.307,1.209,-4.176089295399777,2.066,1
LAO,Lao PDR,2023,6.06024616,342.01,1.188,5.7849041313673855,1.209,1
LAO,Lao PDR,2024,5.828612020555555,285.954,1.218,-16.39016403029151,1.188,1
LBN,Lebanon,2015,9.734545361,857.102,9.306,0.0,0.0,2
LBN,Lebanon,2016,9.946363536,895.109,9.786,4.43436137122537,9.306,2
LBN,Lebanon,2017,10.15818171,896.686,10.251,0.176179660801079,9.786,2
LBN,Lebanon,2018,10.36999989,930.454,10.745,3.7658667582632033,10.251,0
LBN,Lebanon,2019,10.36999989,902.011,11.301,-3.056894806191379,10.745,2
LBN,Lebanon,2020,10.36999989,491.065,13.284,-45.558867907375856,11.301,2
LBN,Lebanon,2021,10.36999989,140.853,12.669,-71.31683178397972,13.284,2
LBN,Lebanon,2022,10.36999989,216.058,11.6,53.3925439997728,12.669,2
LBN,Lebanon,2023,10.36999989,242.321,11.543,12.155532310768402,11.6,2
LBN,Lebanon,2024,10.228787771888893,343.519,11.165,41.761960374874654,11.543,2
LKA,Sri Lanka,2015,10.5014286,209.2323333333333,4.519,0.0,0.0,2
LKA,Sri Lanka,2016,10.5,257.201,4.242,22.926029597082696,4.519,2
LKA,Sri Lanka,2017,10.56999969,243.007,4.046,-5.518641062826357,4.242,2
LKA,Sri Lanka,2018,10.64000034,240.07,4.318,-1.2086071594645476,4.046,2
LKA,Sri Lanka,2019,10.63000011,231.577,4.67,-3.537718165535053,4.318,2
LKA,Sri Lanka,2020,10.81999969,203.928,5.364,-11.939441308938282,4.67,2
LKA,Sri Lanka,2021,10.72999954,214.423,4.981,5.146424228158963,5.364,2
LKA,Sri Lanka,2022,10.77000046,154.676,4.528,-27.864081744962064,4.981,2
LKA,Sri Lanka,2023,10.77000046,138.185,5.997,-10.661641107864172,4.528,2
LKA,Sri Lanka,2024,10.659047654444445,200.024,4.996,44.750877446900894,5.997,2
MMR,Myanmar,2015,4.734193908,264.441,0.766,0.0,0.0,1
MMR,Myanmar,2016,4.849349976,246.392,1.058,-6.825341002340779,0.766,1
MMR,Myanmar,2017,5.359566689,230.728,1.356,-6.357349264586509,1.058,1
MMR,Myanmar,2018,5.869783401,299.636,0.767,29.8654692971811,1.356,1
MMR,Myanmar,2019,6.380000114,292.058,0.407,-2.5290686032386045,0.767,1
MMR,Myanmar,2020,6.380000114,286.561,1.476,-1.882160392798693,0.407,1
MMR,Myanmar,2021,6.380000114,249.751,4.34,-12.845432560606628,1.476,1
MMR,Myanmar,2022,6.380000114,267.081,3.057,6.938911155510885,4.34,1
MMR,Myanmar,2023,6.380000114,267.081,3.032,0.0,3.057,1
MMR,Myanmar,2024,5.856988282666666,267.081,3.032,0.0,3.032,1
MNG,Mongolia,2015,10.58003116,233.781,4.861,0.0,0.0,2
MNG,Mongolia,2016,10.6880374,230.17,7.235,-1.54460798781767,4.861,2
MNG,Mongolia,2017,10.79604363,267.826,6.359,16.360081678759197,7.235,2
MNG,Mongolia,2018,10.90404987,259.073,5.377,-3.2681666455086638,6.359,2
MNG,Mongolia,2019,10.16202497,334.293,9.269,29.03428763321536,5.377,2
MNG,Mongolia,2020,9.420000076,450.343,6.594,34.71505535563113,9.269,2
MNG,Mongolia,2021,9.420000076,438.487,7.747,-2.6326599947151363,6.594,2
MNG,Mongolia,2022,9.420000076,538.578,6.211,22.82644639407781,7.747,2
MNG,Mongolia,2023,9.420000076,508.165,5.503,-5.646907226065667,6.211,2
MNG,Mongolia,2024,10.09002081488889,587.797,5.424,15.670500723190294,5.503,2
MYS,Malaysia,2015,10.25833321,562.021,3.1,0.0,0.0,2
MYS,Malaysia,2016,10.36999989,624.294,3.44,11.080190953718816,3.1,2
MYS,Malaysia,2017,10.46333313,600.526,3.41,-3.807180591195825,3.44,2
MYS,Malaysia,2018,10.55666637,612.597,3.3,2.010071170940142,3.41,2
MYS,Malaysia,2019,10.64999962,681.766,3.26,11.291109816078103,3.3,2
MYS,Malaysia,2020,10.79666646,763.405,4.54,11.974636458843646,3.26,2
MYS,Malaysia,2021,10.94333331,771.734,4.64,1.091032937955605,4.54,2
MYS,Malaysia,2022,11.09000015,1007.816,3.93,30.59111040850864,4.64,0
MYS,Malaysia,2023,11.09000015,1023.82,3.869,1.587988283575581,3.93,0
MYS,Malaysia,2024,10.69092581,1035.034,3.826,1.095309722412141,3.869,0
NPL,Nepal,2015,3.691063976,268.277,10.644,0.0,0.0,1
NPL,Nepal,2016,3.733829975,261.715,10.742,-2.445979342247006,10.644,1
NPL,Nepal,2017,3.933636665,319.579,10.66,22.109546644250443,10.742,1
NPL,Nepal,2018,4.133443356,431.597,10.559,35.05173994536561,10.66,1
NPL,Nepal,2019,4.333250046,413.659,10.389,-4.156192003188153,10.559,1
NPL,Nepal,2020,4.418489933,401.694,12.975,-2.8924790709255577,10.389,1
NPL,Nepal,2021,4.50372982,443.351,12.186,10.37033164548138,12.975,1
NPL,Nepal,2022,4.50372982,444.801,10.844,0.3270546361686222,12.186,1
NPL,Nepal,2023,4.50372982,498.644,10.628,12.10496379279724,10.844,1
NPL,Nepal,2024,4.194989267888889,815.23,10.706,63.48938320725808,10.628,1
OMN,Oman,2015,9.699999809,1490.719,3.401,0.0,0.0,0
OMN,Oman,2016,10.12999992,1520.622,3.266,2.0059447823499887,3.401,0
OMN,Oman,2017,10.56000004,1507.766,2.522,-0.8454435093008028,3.266,0
OMN,Oman,2018,10.99000015,1586.915,1.8,5.2494219925373065,2.522,0
OMN,Oman,2019,11.42000027,1628.981,2.04,2.6508036032175664,1.8,0
OMN,Oman,2020,11.85000038,1607.308,2.94,-1.3304636456778818,2.04,0
OMN,Oman,2021,11.87000036,1579.815,1.9,-1.7104997921991272,2.94,0
OMN,Oman,2022,11.89000034,1664.529,3.3,5.362273430749798,1.9,0
OMN,Oman,2023,11.89000034,1716.724,3.176,3.135721876879272,3.3,0
OMN,Oman,2024,11.14444462322222,1756.93,3.161,2.342018868496054,3.176,0
PAK,Pakistan,2015,5.146666527,418.256,3.566,0.0,0.0,1
PAK,Pakistan,2016,5.133333206,441.116,2.285,5.46555219769711,3.566,1
PAK,Pakistan,2017,5.119999886,457.358,3.215,3.682024682849861,2.285,1
PAK,Pakistan,2018,4.770319939,438.574,4.083,-4.10706711154063,3.215,1
PAK,Pakistan,2019,4.539999962,469.121,4.83,6.965073168952096,4.083,1
PAK,Pakistan,2020,4.427089449,438.435,6.127,-6.541169549007608,4.83,1
PAK,Pakistan,2021,4.316987038,446.768,6.338,1.900623809686719,6.127,1
PAK,Pakistan,2022,4.316987038,529.638,5.485,18.548776993876025,6.338,1
PAK,Pakistan,2023,4.316987038,539.766,5.408,1.9122494987142025,5.485,1
PAK,Pakistan,2024,4.676485564777777,570.451,5.472,5.684870851443047,5.408,1
PHL,Philippines,2015,8.664999962,333.293,3.068,0.0,0.0,2
PHL,Philippines,2016,8.422500134,346.599,2.695,3.992283066251012,3.068,2
PHL,Philippines,2017,8.180000305,342.696,2.552,-1.1260851877818334,2.695,1
PHL,Philippines,2018,8.575000286,353.01,2.338,3.009664542334889,2.552,2
PHL,Philippines,2019,8.970000267,353.29,2.237,0.0793178663494043,2.338,2
PHL,Philippines,2020,8.890000343,354.328,2.522,0.2938096181607008,2.237,2
PHL,Philippines,2021,9.433619976,353.414,3.398,-0.2579530830191245,2.522,2
PHL,Philippines,2022,9.977239609,396.514,2.598,12.1953289909285,3.398,2
PHL,Philippines,2023,9.977239609,401.244,2.222,1.192896089419304,2.598,2
PHL,Philippines,2024,9.010066721222222,400.222,2.153,-0.2547078585598883,2.222,2
THA,Thailand,2015,8.183333079,624.064,0.597,0.0,0.0,2
THA,Thailand,2016,8.319999695,625.86,0.688,0.2877909957953006,0.597,2
THA,Thailand,2017,8.34499979,631.909,0.83,0.9665100821269812,0.688,2
THA,Thailand,2018,8.369999886,660.936,0.765,4.59354115861621,0.83,2
THA,Thailand,2019,8.699999809,669.244,0.716,1.2570052168439982,0.765,2
THA,Thailand,2020,8.813333193,694.119,1.099,3.716880539833012,0.716,2
THA,Thailand,2021,8.926666578,710.375,1.215,2.34196153685462,1.099,2
THA,Thailand,2022,9.039999962,816.337,0.94,14.916346999824023,1.215,2
THA,Thailand,2023,9.039999962,783.514,0.733,-4.020765933676895,0.94,2
THA,Thailand,2024,8.637592439333332,818.87,0.693,4.5124911616129415,0.733,2
TJK,Tajikistan,2015,11.34705891,111.233,11.485,0.0,0.0,2
TJK,Tajikistan,2016,11.38352949,164.503,11.5,47.89046416081557,11.485,2
TJK,Tajikistan,2017,11.42000008,147.917,11.487,-10.082490896822538,11.5,2
TJK,Tajikistan,2018,11.3761613,143.957,11.437,-2.6771770655164784,11.487,2
TJK,Tajikistan,2019,11.33232253,137.769,11.419,-4.29850580381641,11.437,2
TJK,Tajikistan,2020,11.28848376,133.465,12.321,-3.1240700012339477,11.419,2
TJK,Tajikistan,2021,11.27094825,124.29,12.333,-6.874461469299065,12.321,2
TJK,Tajikistan,2022,11.27094825,137.59057142857142,11.634,10.701240187119977,12.333,2
TJK,Tajikistan,2023,11.27094825,137.59057142857142,11.546,0.0,11.634,2
TJK,Tajikistan,2024,11.328933424444443,137.59057142857142,11.635,0.0,11.546,2
TKM,Turkmenistan,2015,10.82452965,343.705,4.016,0.0,0.0,2
TKM,Turkmenistan,2016,10.8880372,382.825,4.031,11.38185362447448,4.016,2
TKM,Turkmenistan,2017,10.95154476,412.146,4.044,7.659113171814802,4.031,2
TKM,Turkmenistan,2018,11.01505232,443.457,4.044,7.597065117700996,4.044,2
TKM,Turkmenistan,2019,11.07855988,513.526,4.043,15.800630049813158,4.044,2
TKM,Turkmenistan,2020,11.14299353,583.742,4.501,13.67330962794484,4.043,2
TKM,Turkmenistan,2021,11.20780193,608.719,4.459,4.278773841868522,4.501,2
TKM,Turkmenistan,2022,11.20780193,469.7314285714286,4.109,-22.83279664813673,4.459,2
TKM,Turkmenistan,2023,11.20780193,469.7314285714286,4.099,0.0,4.109,2
TKM,Turkmenistan,2024,11.058235903333332,469.7314285714286,4.304,0.0,4.099,2
TLS,Timor-Leste,2015,5.275200049,250.33,3.678,0.0,0.0,1
